2025-09-01 01:03:19 INFO  TestAccountRegistrationPage_TC001:14 - ****Starting TestAccountRegistrationPageTC001****
2025-09-01 01:03:20 INFO  TestAccountRegistrationPage_TC001:17 - Clicking on My Account Link..
2025-09-01 01:03:20 INFO  TestAccountRegistrationPage_TC001:19 - Clicking on Register Link..
2025-09-01 01:03:21 INFO  TestAccountRegistrationPage_TC001:24 - Providing Customer Details..
2025-09-01 01:03:22 INFO  TestAccountRegistrationPage_TC001:44 - Validating Expected Massage..
2025-09-01 01:03:23 INFO  TestAccountRegistrationPage_TC001:48 - ****Ending TestAccountRegistrationPageTC001****
2025-09-01 01:03:23 INFO  TestAccountRegistrationPage_TC001:69 - verifyAccountRegistration executed successfully
2025-09-01 01:03:25 INFO  TestAccountLoginPage_TC002:14 - ****Starting TestAccountLoginPageTC002****
2025-09-01 01:03:25 INFO  TestAccountLoginPage_TC002:16 - Clicking on My Account Link..
2025-09-01 01:03:25 INFO  TestAccountLoginPage_TC002:18 - Clicking on Login Link..
2025-09-01 01:03:27 INFO  TestAccountLoginPage_TC002:36 - ****End TestAccountLoginPageTC002****
2025-09-01 01:03:27 INFO  TestAccountLoginPage_TC002:69 - verifyLogin executed successfully
2025-09-01 01:03:29 INFO  TestAccountLogoutPage_TC003:15 - ****Starting TestAccountLogoutPage_TC003****
2025-09-01 01:03:29 INFO  TestAccountLogoutPage_TC003:17 - Clicking on My Account Link..
2025-09-01 01:03:30 INFO  TestAccountLogoutPage_TC003:19 - Clicking on Login Link..
2025-09-01 01:03:32 INFO  TestAccountLogoutPage_TC003:47 - ****End TestAccountLogoutPage_TC003****
2025-09-01 01:03:32 INFO  TestAccountLogoutPage_TC003:69 - verifyLogout executed successfully
2025-09-01 01:03:34 INFO  TestSearchProduct_TC004:13 - ****Starting TestSearchProduct_TC004****
2025-09-01 01:03:34 INFO  TestSearchProduct_TC004:28 - ****End TestSearchProduct_TC004****
2025-09-01 01:03:34 INFO  TestSearchProduct_TC004:69 - verifySearch executed successfully
2025-09-01 01:03:36 INFO  TestAddToCartPage_TC005:14 - ****Starting TestAddToCartPage_TC005****
2025-09-01 01:03:38 INFO  TestAddToCartPage_TC005:40 - ****End TestAddToCartPage_TC005****
2025-09-01 01:03:38 INFO  TestAddToCartPage_TC005:69 - verifyAddToCart executed successfully
2025-09-01 01:03:41 INFO  DDTestAccountLoginPage_TC006:15 - ****Starting DDTestAccountLoginPage_TC006****
2025-09-01 01:03:41 INFO  DDTestAccountLoginPage_TC006:19 - Clicking on My Account Link..
2025-09-01 01:03:41 INFO  DDTestAccountLoginPage_TC006:21 - Clicking on Login Link..
2025-09-01 01:03:43 INFO  DDTestAccountLoginPage_TC006:65 - End DDTestAccountLoginPage_TC006
2025-09-01 01:03:43 INFO  DDTestAccountLoginPage_TC006:69 - verifyDDTestLoginPage executed successfully
2025-09-01 01:03:43 INFO  DDTestAccountLoginPage_TC006:15 - ****Starting DDTestAccountLoginPage_TC006****
2025-09-01 01:03:43 INFO  DDTestAccountLoginPage_TC006:19 - Clicking on My Account Link..
2025-09-01 01:03:43 INFO  DDTestAccountLoginPage_TC006:21 - Clicking on Login Link..
2025-09-01 01:03:46 INFO  DDTestAccountLoginPage_TC006:65 - End DDTestAccountLoginPage_TC006
2025-09-01 01:03:46 INFO  DDTestAccountLoginPage_TC006:69 - verifyDDTestLoginPage executed successfully
2025-09-01 01:03:46 INFO  DDTestAccountLoginPage_TC006:15 - ****Starting DDTestAccountLoginPage_TC006****
2025-09-01 01:03:46 INFO  DDTestAccountLoginPage_TC006:19 - Clicking on My Account Link..
2025-09-01 01:03:46 INFO  DDTestAccountLoginPage_TC006:21 - Clicking on Login Link..
2025-09-01 01:04:17 INFO  DDTestAccountLoginPage_TC006:65 - End DDTestAccountLoginPage_TC006
2025-09-01 01:04:17 INFO  DDTestAccountLoginPage_TC006:69 - verifyDDTestLoginPage executed successfully
2025-09-01 01:04:17 INFO  DDTestAccountLoginPage_TC006:15 - ****Starting DDTestAccountLoginPage_TC006****
2025-09-01 01:04:17 INFO  DDTestAccountLoginPage_TC006:19 - Clicking on My Account Link..
2025-09-01 01:04:17 INFO  DDTestAccountLoginPage_TC006:21 - Clicking on Login Link..
2025-09-01 01:04:48 INFO  DDTestAccountLoginPage_TC006:65 - End DDTestAccountLoginPage_TC006
2025-09-01 01:04:48 INFO  DDTestAccountLoginPage_TC006:69 - verifyDDTestLoginPage executed successfully
2025-09-01 01:04:48 INFO  DDTestAccountLoginPage_TC006:15 - ****Starting DDTestAccountLoginPage_TC006****
2025-09-01 01:04:48 INFO  DDTestAccountLoginPage_TC006:19 - Clicking on My Account Link..
2025-09-01 01:04:49 INFO  DDTestAccountLoginPage_TC006:21 - Clicking on Login Link..
2025-09-01 01:04:50 INFO  DDTestAccountLoginPage_TC006:65 - End DDTestAccountLoginPage_TC006
2025-09-01 01:04:50 INFO  DDTestAccountLoginPage_TC006:69 - verifyDDTestLoginPage executed successfully
2025-09-01 01:04:50 INFO  DDTestAccountLoginPage_TC006:15 - ****Starting DDTestAccountLoginPage_TC006****
2025-09-01 01:04:50 INFO  DDTestAccountLoginPage_TC006:19 - Clicking on My Account Link..
2025-09-01 01:04:50 INFO  DDTestAccountLoginPage_TC006:21 - Clicking on Login Link..
2025-09-01 01:05:21 INFO  DDTestAccountLoginPage_TC006:65 - End DDTestAccountLoginPage_TC006
2025-09-01 01:05:21 INFO  DDTestAccountLoginPage_TC006:69 - verifyDDTestLoginPage executed successfully
